146 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
147 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
148 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
149 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
150 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
151 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
152 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
153 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
154 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
155 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
156 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
157 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
158 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
159 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
160 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
161 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
162 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
163 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
164 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
165 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
166 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
167 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
168 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
169 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
170 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
171 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
172 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
173 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
174 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
175 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
176 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
177 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
178 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
179 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
180 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
181 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
182 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
183 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
184 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
185 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
186 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
187 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
188 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
189 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
190 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
191 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
192 : B000:[---][---][001][001][---][---][---][---] | L001:[000][---] | L001:[000][---]
193 : B000:[---][---][001][001][---][---][---][---] | L001:[001][000] | L001:[001][000]
194 : B000:[---][---][001][001][---][---][---][---] | L001:[000][---] | L001:[000][---]
195 : B000:[---][---][001][001][---][---][---][---] | L001:[001][000] | L001:[001][000]
196 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
197 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
198 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
199 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
200 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
201 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
202 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
203 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
204 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
205 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
206 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
207 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
208 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
209 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
210 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
211 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
212 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
213 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
214 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
215 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
216 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
217 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
218 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
219 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
220 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
221 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
222 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
223 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
224 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
225 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
226 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
227 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
228 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
229 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
230 : B000:[---][---][001][001][---][---][---][---] | L001:[000][---] | L001:[000][---]
231 : B000:[---][---][001][001][---][---][---][---] | L001:[001][000] | L001:[001][000]
232 : B000:[---][---][001][001][---][---][---][---] | L001:[000][---] | L001:[000][---]
233 : B000:[---][---][001][001][---][---][---][---] | L001:[001][000] | L001:[001][000]
234 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
235 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
236 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
237 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
238 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
239 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
240 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
241 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
242 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
243 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
244 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
245 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
246 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
247 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
248 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
249 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
250 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
251 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
252 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
253 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
254 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
255 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
256 : B000:[---][---][001][001][---][---][---][---] | L001:[000][---] | L001:[000][---]
257 : B000:[---][---][001][001][---][---][---][---] | L001:[001][000] | L001:[001][000]
258 : B000:[---][---][001][001][---][---][---][---] | L001:[000][---] | L001:[000][---]
259 : B000:[---][---][001][001][---][---][---][---] | L001:[001][000] | L001:[001][000]
260 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
261 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
262 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
263 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
264 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
265 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
266 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
267 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
268 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
269 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
270 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
271 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
272 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
273 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
274 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
275 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
276 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
277 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
278 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
279 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
280 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
281 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
282 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
283 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
284 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
285 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
286 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
287 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
288 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
289 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
290 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
291 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
292 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
293 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
294 : B000:[---][---][001][001][---][---][---][---] | L001:[000][---] | L001:[000][---]
295 : B000:[---][---][001][001][---][---][---][---] | L001:[001][000] | L001:[001][000]
296 : B000:[---][---][001][001][---][---][---][---] | L001:[000][---] | L001:[000][---]
297 : B000:[---][---][001][001][---][---][---][---] | L001:[001][000] | L001:[001][000]
298 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
299 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
300 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
301 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
302 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
303 : B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000]
304 : B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---]
